price,form,interface,speed,gig,sgig,brand,supplier,comment
139.00,M.2,NVME,PCIe5,1000,0.139,Samsung,CPL,"Samsung MZ-V9S1T0BW 990 EVO Plus 1TB PCIe 5.0/4.0 NVMe M.2 2280 SSD"
63.00,M.2,NVME,PCIe4,500,0.126,Kingston,CPL,"Kingston SNV3S/500G NV3 500GB PCIe 4.0 NVMe M.2 2280 SSD"
199.00,M.2,NVME,PCIe4,2000,0.100,Kingston,CPL,"Kingston SNV3S/2000G NV3 2TB PCIe 4.0 NVMe M.2 2280 SSD"
95.00,M.2,NVME,PCIe4,1000,0.095,Kingston,CPL,"Kingston SNV3S/1000G NV3 1TB PCIe 4.0 NVMe M.2 2280 SSD"
179.00,M.2,NVME,PCIe4,2000,0.089,Lexar,CPL,"Lexar LNQ790X002T-RNNNG NQ790 2TB PCIe 4.0 NVMe M.2 2280 SSD"
122.80,M.2,NVME,PCIe4,1000,0.123,Lexar,CPL,"Lexar LNQ790X001T-RNNNG NQ790 1TB PCIe 4.0 NVMe M.2 2280 SSD"
65.00,"2.5""",SATA,SATA,512,0.127,HP,CPL,"HP 16L53AA# S750 512GB 2.5"" SATA III 6GB/s 3D NAND SSD"
39.00,M.2,NVME,?,250,0.156,HP,CPL,"HP 2YY43AA# EX900 250GB PCIe 3.0x4 3D NAND FLASH M.2 SSD"
117.80,M.2,NVME,"PCIe4 x4",1000,0.118,HP,CPL,"HP 8U2N3AA# FX700 1TB PCIe Gen 4x4 NVMe M.2 2280 SSD"
66.00,M.2,NVME,PCIe4,500,0.132,Crucial,CPL,"Crucial CT500P310SSD8 P310 500GB PCIe 4.0 NVMe M.2 2280 SSD"
425.00,M.2,NVME,PCIe4,4000,0.106,Crucial,CPL,"Crucial CT4000T500SSD3 T500 4TB PCIe 4.0 NVMe M.2 2280 SSD"
199.00,M.2,NVME,PCIe4,2000,0.100,Crucial,CPL,"Crucial CT2000P310SSD8 P310 2TB PCIe 4.0 NVMe M.2 2280 SSD"
105.00,M.2,NVME,PCIe4,1000,0.105,Crucial,CPL,"Crucial CT1000P310SSD8 P310 1TB PCIe 4.0 NVMe M.2 2280 SSD"
119.00,M.2,NVME,?,1000,0.119,Crucial,CPL,"Crucial CT1000P310SSD2 P310 1TB M.2 2230 NVMe SSD"
221.80,M.2,NVME,PCIe5,1000,0.222,Team,CPL,"Team TM8FF1001T0C129 T-Force Cardea Z540 1TB PCIe 5.0 NVMe M.2 2280 SSD"
379.00,"2.5""",SATA,SATA3,4000,0.095,Crucial,CPL,"Crucial CT4000BX500SSD1 BX500 2.5"" SATA3 SSD 4TB"
259.00,M.2,NVME,PCIe5,2000,0.130,Samsung,CPL,"Samsung MZ-V9E2T0BW 990 EVO 2TB PCIe 5.0/4.0 NVMe M.2 SSD"
139.00,M.2,NVME,PCIe5,1000,0.139,Samsung,CPL,"Samsung MZ-V9E1T0BW 990 EVO 1TB PCIe 5.0/4.0 NVMe M.2 SSD"
399.00,"2.5""",SATA,SATA,2000,0.200,WD,CPL,"WD Red WDS200T2R0A SA500 2.5"" SATA NAS SSD 2TB"
699.00,M.2,NVME,PCIe5,4000,0.175,Crucial,CPL,"Crucial CT4000T705SSD3 T705 4TB PCIe 5.0 NVMe M.2 SSD"
374.00,M.2,NVME,PCIe5,2000,0.187,Crucial,CPL,"Crucial CT2000T705SSD5 T705 2TB PCIe 5.0 NVMe M.2 SSD with Heatsink"
339.00,M.2,NVME,PCIe5,2000,0.170,Crucial,CPL,"Crucial CT2000T705SSD3 T705 2TB PCIe 5.0 NVMe M.2 SSD"
148.00,M.2,NVME,PCIe4,1000,0.148,Crucial,CPL,"Crucial CT1000T500SSD5 T500 1TB PCIe Gen4 NVMe M.2 SSD with Heatsink"
209.00,M.2,NVME,PCIe4,2000,0.104,Crucial,CPL,"Crucial CT2000T500SSD8 T500 2TB PCIe Gen4 NVMe M.2 SSD"
218.00,?,?,?,5000,0.044,WD,CPL,"WD WDBPKJ0050BRD-WESN My Passport 5TB USB 3.2 External Portable Hard Drive Red"
112.90,?,USB,"USB 3.0",1000,0.113,Adata,CPL,"ADATA AHV320-1TU31-CBK HV320 1TB USB 3.0 Slim Portable External Hard Drive Black"
349.00,?,?,?,2000,0.174,Lexar,CPL,"Lexar LSL400S002T-RNBNG Professional GO SL400 2TB USB-C 3.2 Portable SSD with Hub"
176.00,"2.5""",SATA?,?,2000,0.088,LaCie,CPL,"LACIE STFR2000800 RUGGED Portable 2.5"" 2TB USB-C_ 2YR"
125.00,?,USB,"USB 3.0",2000,0.062,WD,CPL,"WD WDBU6Y0020BBK Elements USB 3.0 Portable External Hard Drive 2TB"
239.00,"2.5""",SATA?,?,4000,0.060,Seagate,CPL,"Seagate STKZ4000400 One Touch 4TB 2.5"" Portable HDD"
274.00,"3.5""",SATA?,"RPM:  5400",6000,0.046,WD,CPL,"WD WD60EZAX Blue 3.5"" 256MB Cache 5400RPM Desktop HDD 6TB"
137.60,"2.5""",SATA?,?,1000,0.138,LaCie,CPL,"LaCie STLP1000400 Mobile Drive V2 2.5"" USB-C Portable Drive 1TB 2Yr Moon Silver"
549.00,?,?,?,12000,0.046,Seagate,CPL,"Seagate STLC12000400 One Touch Hub 12TB External HDD"
239.00,?,?,?,5000,0.048,Seagate,CPL,"Seagate STKZ5000402 5TB ONE TOUCH PORTABLE HDD BLUE WITH Password Protection"
399.00,?,USB,"USB 3.0",8000,0.050,Seagate,CPL,"Seagate STKP8000400 8TB EXPANSION Desktop USB 3.0 External Hard Drive"
769.00,?,?,?,18000,0.043,WD,CPL,"WD WDBBKG0180HBK-AESN ELEMENTS DESKTOP 18TB BLACK"
672.00,?,?,?,16000,0.042,WD,CPL,"WD WDBBKG0160HBK-AESN ELEMENTS DESKTOP 16TB BLACK"
2028.50,?,USB,"USB 3.1",28000,0.072,LaCie,CPL,"LaCie STHJ28000800 28TB 2big 2-Bay USB 3.1 Type-C RAID Array"
1169.00,?,USB-C,"RPM:  7200",16000,0.073,LaCie,CPL,"Lacie STHS16000800 1big Dock 16TB 7200RPM Thunderbolt 3 External Desktop Hard Drive"
569.00,?,?,?,14000,0.041,WD,CPL,"WD WDBBKG0140HBK-AESN 14TB Elements Desktop Hard Drive"
125.00,?,?,?,2000,0.062,WD,CPL,"WD WDBYVG0020BRD-WESN My Passport 2TB Red Portable Hard Drive"
129.00,?,?,?,2000,0.065,WD,CPL,"WD WDBYVG0020BBL-WESN My Passport 2TB Blue Portable Hard Drive"
129.00,?,?,?,2000,0.065,WD,CPL,"WD WDBYVG0020BBK-WESN My Passport 2TB Black Portable Hard Drive"
215.00,?,?,?,5000,0.043,WD,CPL,"WD WDBPKJ0050BBK-WESN My Passport 5TB Black Portable Hard Drive"
189.00,?,?,?,4000,0.047,WD,CPL,"WD WDBPKJ0040BBK-WESN My Passport 4TB Black Portable Hard Drive"
209.00,?,?,?,5000,0.042,WD,CPL,"WD WDBJRT0050BBK-WESN Elements Se Portable 5TB Black Hard Drive"
149.00,?,?,?,2000,0.074,WD,CPL,"WD WDBC3C0020BBL-WESN My Passport Ultra 2TB Blue Portable Hard Drive"
479.00,?,?,?,12000,0.040,WD,CPL,"WD WDBBKG0120HBK-AESN Elements Desktop 12TB Black"
133.70,?,?,?,2000,0.067,WD,CPL,"WD WDBA2D0020BBL-WESN My Passport 2TB For Mac Portable Hard Drive"
429.00,?,?,?,10000,0.043,WD,CPL,"WD WDBBKG0100HBK-AESN Elements Desktop 10TB hard drive"
305.00,"3.5""",USB,"RPM:  7200",4000,0.076,LaCie,CPL,"LaCie STHA4000800 d2 Professional 3.5E 4TB 7200RPM USB 3.1 TYPE C 5YRS"
185.00,?,?,?,4000,0.046,WD,CPL,"WD WDBJRT0040BBK-WESN Elements Portable SPEC EDIT 4TB"
104.00,?,?,?,1000,0.104,WD,CPL,"WD WDBEPK0010BBK-WESN Elements Portable SPEC EDIT 1TB"
109.00,"2.5""",USB,"USB 3.0",1000,0.109,Verbatim,CPL,"Verbatim 53194 2.5' USB 3.0 Store'n'Go HDD Grid Design 1TB - Black"
275.00,?,?,?,4000,0.069,LaCie,CPL,"LaCie LAC9000633 4TB RUGGED Mini USB 3.0"
172.00,"2.5""",USB,"USB 3.0",2000,0.086,LaCie,CPL,"LaCie 2TB Rugged Mini 2.5"" USB3.0 LAC9000298"
