date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2019-10-18,329.00,?,SATA,SATA,3000,0.110,Seagate,CPL,SEAGATE ST3000NM000A EXOS 7E8 HDD 512N 3TB SATA
2019-10-18,329.00,?,SATA,SATA,4000,0.082,Seagate,CPL,SEAGATE ST4000NM002A EXOS 7E8 HDD 512E/4KN 4TB SATA
2019-10-18,379.00,?,SATA,SATA,6000,0.063,Seagate,CPL,SEAGATE ST6000NM021A EXOS 7E8 HDD 512E/4KKN 6TB SATA
2019-10-18,499.00,3.5",SATA,SATA,8000,0.062,Seagate,CPL,SEAGATE ST8000NM0206 HELIUM ENT CAP 8TB 3.5IN SATA 6GB/S 7200
2019-10-18,499.00,?,SATA,SATA,8000,0.062,Seagate,CPL,SEAGATE ST8000NM000A EXOS 7E8 HDD 512E/4KN 8TB SATA
2019-10-18,189.00,?,SAS,?,1000,0.189,Seagate,CPL,SEAGATE ST1000NM001A EXOS 7E8 HDD 512N 1TB SAS
2019-10-18,249.00,?,SAS,?,2000,0.124,Seagate,CPL,SEAGATE ST2000NM004A EXOS 7E8 HDD 512E/4KN 2TB SAS
2019-10-18,339.00,?,SAS,?,3000,0.113,Seagate,CPL,SEAGATE ST3000NM001A EXOS 7E8 HDD 512N 3TB SAS
2019-10-18,339.00,?,SAS,?,4000,0.085,Seagate,CPL,SEAGATE ST4000NM005A EXOS 7E8 HDD 512E/4KN 4TB SAS
2019-10-18,115.00,2.5",SATA,SATA3,1000,0.115,WD,CPL,WD WD10SPCX 1TB Blue 2.5 Inch SATA3 Hard Drive
2019-10-18,79.00,2.5",SATA?,?,500,0.158,WD,CPL,WD WD5000LPLX Black 2.5in 500GB HDD
2019-10-18,129.00,2.5",SATA,SATA,2000,0.065,WD,CPL,WD WD20SPZX 2TB Blue 2.5" SATA HDD
2019-10-18,72.00,2.5",SATA,RPM:  5400,1000,0.072,WD,CPL,WD WD10SPZX 1TB BLUE 2.5" 5400 RPM SATA Hard Drive
2019-10-18,194.00,2.5",SATA,RPM:  5400,3000,0.065,Seagate,CPL,Seagate ST3000LM024 Barracuda 2.5IN 3TB SATA HDD 5400RPM
2019-10-18,79.00,2.5",SATA,RPM:  5400,500,0.158,Seagate,CPL,Seagate 500GB ST500LX025 FireCuda SSHD 2.5"  SATA 6Gb/s 5400rpm
2019-10-18,73.00,2.5",SATA,RPM:  5400,1000,0.073,Seagate,CPL,Seagate ST1000LM048 Barracuda 2.5In 1TB SATA HDD 5400RPM
2019-10-18,62.00,2.5",SATA,SATA,500,0.124,Seagate,CPL,Seagate ST500LM030 2.5" 500GB_ Barracuda SATA HDD
2019-10-18,99.00,2.5",SATA?,?,1000,0.099,Seagate,CPL,Seagate ST1000LX015 1TB FireCuda 2.5In SSHD
2019-10-18,135.00,2.5",SATA?,?,2000,0.068,Seagate,CPL,Seagate 2TB ST2000LM015 BarraCuda 2.5" HDD
2019-10-18,165.00,2.5",SATA?,?,2000,0.083,WD,CPL,WD WD20NPVZ Blue 2TB 2.5-inch Mobile Hard Drive
2019-10-18,95.00,M.2,NVME,PCIe3 x4,256,0.371,Transcend,CPL,Transcend TS256GMTE220S 256GB M.2 2280 PCIE GEN3X4 M-KEY 3D TLC
2019-10-18,38.00,M.2,?,?,120,0.317,Kingston,CPL,Kingston SA400M8/120G A400 M.2 SSD 120GB
2019-10-18,49.00,M.2,?,?,240,0.204,Kingston,CPL,Kingston SA400M8/240G A400 M.2 SSD 240GB
2019-10-18,1099.00,2.5",SATA,SATA3,?,?,Micron,CPL,Micron MTFDDAK1T9TDN-1AT1ZABYY 5200 MAX 1920GB/1.92TB 2.5" SATA3 6Gbps 7mm Server Data Centre SSD
2019-10-18,289.00,2.5",SATA,SATA3,240,1.204,Micron,CPL,Micron MTFDDAK240TDN-1AT1ZABYY 5200 MAX 240GB 2.5" SATA3 6Gbps 7mm Server Data Centre SSD
2019-10-18,359.00,2.5",SATA,SATA3,480,0.748,Micron,CPL,Micron MTFDDAK480TDN-1AT1ZABYY 5200 MAX 480GB 2.5" SATA3 6Gbps 7mm Server Data Centre SSD
2019-10-18,589.00,2.5",SATA,SATA3,960,0.614,Micron,CPL,Micron MTFDDAK960TDN-1AT1ZABYY 5200 MAX 960GB 2.5" SATA3 6Gbps 7mm Server Data Centre SSD
2019-10-18,219.00,2.5",SATA,SATA3,480,0.456,Intel,CPL,Intel SSDSC2KW480H6X1 540 Series 2.5" 480GB SSD SATA3 6Gbps 560/480MB/s
2019-10-18,75.00,M.2,NVME,?,250,0.300,WD,CPL,WD WDS250G1B0C 250GB Blue NVME SSD M.2
2019-10-18,189.00,M.2,NVME,PCIe3,58,3.259,Intel,CPL,Intel SSDPEK1W060GA01 800P 58GB M.2 2280 Pcie 3.0 Nvme_ 3D Xpoint_ 5 Yr Wty
2019-10-18,339.00,M.2,NVME,PCIe3,118,2.873,Intel,CPL,Intel SSDPEK1W120GA01 800P 118GB M.2 2280 Pcie 3.0 Nvme_ 3D Xpoint_ 5 Yr Wty
2019-10-18,99.00,2.5",SATA,SATA3,480,0.206,Transcend,CPL,Transcend TS480GSSD220S 480GB 2.5IN SSD220S SATA3 TLC ALUMINUM C
2019-10-18,159.00,M.2,NVME,PCIe3 x4,512,0.311,Transcend,CPL,Transcend TS512GMTE220S 512GB M.2 2280 PCIE GEN3X4 M-KEY 3D TLC
2019-10-18,314.00,M.2,NVME,PCIe3 x4,1000,0.314,WD,CPL,WD WDS100T3X0C Black SN750 1TB NVMe M.2 (2280) PCIe 3x4 3D NAND SSD
2019-10-18,105.00,M.2,NVME,PCIe3 x4,250,0.420,WD,CPL,WD WDS250G3X0C Black SN750 250GB NVMe M.2 (2280) PCIe 3x4 3D NAND SSD
2019-10-18,169.00,M.2,NVME,PCIe3 x4,500,0.338,WD,CPL,WD WDS500G3X0C Black SN750 500GB NVMe M.2 (2280) PCIe 3x4 3D NAND SSD
2019-10-18,118.00,M.2,NVME,?,500,0.236,WD,CPL,WD WDS500G1B0C 500GB Blue NVME M.2 2280 SSD
2019-10-18,208.00,M.2,NVME,?,500,0.416,WD,CPL,WD WDS500G3XHC 500GB BLACK SN750 NVME SSD_ M.2 2280 With Heatsink
2019-10-18,99.00,?,?,?,32,3.094,Intel,CPL,Intel MEMPEK1W032GA01 32GB OPTANE CACHE MEMORY
2019-10-18,89.00,2.5",SATA,SATA,512,0.174,Team,CPL,Team T253X2512G0C101 512GB GX2 2.5'' SATA SSD
2019-10-18,98.00,M.2,NVME,?,256,0.383,Gigabyte,CPL,Gigabyte AORUS RGB 256GB M.2 NVMe SSD GP-ASM2NE2256GTTDR
2019-10-18,174.00,M.2,NVME,?,512,0.340,Gigabyte,CPL,Gigabyte GP-ASM2NE2512GTTDR Aorus RGB 512GB M.2 PCIe NVMe SSD
2019-10-18,79.00,M.2,SATA,SATA,250,0.316,Crucial,CPL,Crucial CT250MX500SSD4T MX500 250GB M.2(2280) 3D NAND SATA SSD
2019-10-18,39.00,M.2,NVME,?,128,0.305,Gigabyte,CPL,Gigabyte GP-GSM2NE8128GNTD M.2 PCIe NVMe SSD 128GB
2019-10-18,62.00,M.2,NVME,?,256,0.242,Gigabyte,CPL,Gigabyte GP-GSM2NE8256GNTD M.2 PCIe NVMe SSD 256GB
2019-10-18,49.00,2.5",SATA,SATA,256,0.191,Team,CPL,Team T253X2256G0C101 256GB GX2 2.5'' SATA SSD
2019-10-18,169.00,2.5",SATA,SATA,1000,0.169,Team,CPL,Team T253X2001T0C101 1TB GX2 2.5'' SATA SSD
2019-10-18,358.00,M.2,NVME,?,1000,0.358,WD,CPL,WD WDS100T3XHC 1TB BLACK SN750 NVME SSD M.2 2280 with heatsink
2019-10-18,709.00,?,NVME,?,2000,0.354,WD,CPL,WD WDS200T3X0C 2TB Black SN750 NVMe SSD
2019-10-18,725.00,2.5",SATA,SATA,1920,0.378,Seagate,CPL,Seagate ZA1920NM10011 IRONWOLF 110 SSD_ 2.5" SATA 1920GB_ 560R/345W-MB/S_ 5YR WTY
2019-10-18,135.00,2.5",SATA,SATA,240,0.562,Seagate,CPL,Seagate ZA240NM10011 IRONWOLF 110 SSD_ 2.5" SATA 240GB_ 560R/345W-MB/S_ 5YR WTY
2019-10-18,1349.00,2.5",SATA,SATA,3840,0.351,Seagate,CPL,Seagate ZA3840NM10011 IRONWOLF 110 SSD_ 2.5" SATA 3840GB_ 560R/345W-MB/S_ 5YR WTY
2019-10-18,215.00,2.5",SATA,SATA,480,0.448,Seagate,CPL,Seagate ZA480NM10011 IRONWOLF 110 SSD_ 2.5" SATA 480GB_ 560R/345W-MB/S_ 5YR WTY
2019-10-18,399.00,2.5",SATA,SATA,960,0.416,Seagate,CPL,Seagate ZA960NM10011 IRONWOLF 110 SSD_ 2.5" SATA 960GB_ 560R/345W-MB/S_ 5YR WTY
2019-10-18,35.00,2.5",SATA,SATA,128,0.273,Team,CPL,Team T253X2128G0C101 128GB GX2 2.5'' SATA SSD
2019-10-18,105.00,M.2,NVME,?,512,0.205,Gigabyte,CPL,Gigabyte GP-GSM2NE8512GNTD M.2 PCIe NVMe SSD 512GB
2019-10-18,74.00,2.5",SATA,SATA3,240,0.308,Transcend,CPL,Transcend TS240GSSD220S 240GB 2.5in SSD220S SATA3 TLC
2019-10-18,39.00,2.5",SATA?,?,120,0.325,Galax,CPL,Galax TGAA1D4T6TG32CNSBXKDXN 120GB Gamer V Series 2.5" SSD
2019-10-18,179.00,2.5",SATA,SATA3,240,0.746,Intel,CPL,Intel DC S4610 2.5" 240GB SSD SATA3 SSDSC2KG240G801 7mm 560R/320W 5YR WTY
2019-10-18,1329.00,2.5",SATA,SATA3,3840,0.346,Intel,CPL,Intel 3.84TB SSD D3-S4510 Series SSDSC2KB038T801 2.5" SATA3
